region,year,chinook_salmon,sockeye_salmon,coho_salmon,pink_salmon,chum_salmon,source,total_salmon,observation_id,source_cor,mgmt_area,area_class,lon,lat
BRB,1996,87,29592,125,38,827,individual,30669,1,individual,Bristol Bay Management Area,mgmtArea,-158,58.5
BRB,1996,87,29592,125,38,827,regional,30669,1,regional,Bristol Bay Management Area,mgmtArea,-158,58.5
KOD,1996,13,4970,202,3487,544,individual,9216,2,individual,Kodiak Management Area,mgmtArea,-152.5,57.5
CKI,1996,15,4376,336,696,167,regional,5590,3,regional,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1996,15,4376,336,696,167,individual,5590,3,individual,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1996,15,4376,336,696,167,local,5590,3,local,Cook Inlet Management Area,mgmtArea,-151,60
COP,1996,58,2357,193,6,26,regional,2640,4,regional,Copper River Subarea,subarea,-145,60.5
COP,1996,58,2357,193,6,26,local,2640,4,local,Copper River Subarea,subarea,-145,60.5
COP,1996,58,2357,193,6,26,individual,2640,4,individual,Copper River Subarea,subarea,-145,60.5
SSE,1996,24,2110,1173,53676,5605,regional,62588,5,regional,Southern Southeast Alaska,mgmtArea,-132.5,55.5
SSE,1996,24,2110,1173,53676,5605,individual,62588,5,individual,Southern Southeast Alaska,mgmtArea,-132.5,55.5
CHG,1996,3,1958,193,189,121,local,2464,6,local,Chignik Management Area,mgmtArea,-158.5,56.3
CHG,1996,3,1958,193,189,121,regional,2464,6,regional,Chignik Management Area,mgmtArea,-158.5,56.3
NOP,1996,5,1911,157,54,68,individual,2195,7,individual,NorthPeninsual Subarea,subarea,-159,56.5
NOP,1996,5,1911,157,54,68,regional,2195,7,regional,NorthPeninsual Subarea,subarea,-159,56.5
SOP,1996,6,1543,293,2208,795,local,4845,8,local,South Peninsula Subarea,subarea,-162,54.5
SOP,1996,6,1543,293,2208,795,individual,4845,8,individual,South Peninsula Subarea,subarea,-162,54.5
PWS,1996,1,606,172,26042,2078,regional,28899,9,regional,Prince William Sound Subarea,subarea,-148,60.8
PWS,1996,1,606,172,26042,2078,individual,28899,9,individual,Prince William Sound Subarea,subarea,-148,60.8
NSE,1996,187,478,1492,10921,10459,individual,23537,10,individual,Northern Southeast Alaska,mgmtArea,-134.5,58.5
NSE,1996,187,478,1492,10921,10459,regional,23537,10,regional,Northern Southeast Alaska,mgmtArea,-134.5,58.5
YAK,1996,10,209,492,32,3,regional,746,11,regional,Yakutat,mgmtArea,-140,59.5
KSK,1996,23,123,1102,2,296,individual,1546,12,individual,Kuskokwim Management Area,mgmtArea,-161.5,60
KSK,1996,23,123,1102,2,296,local,1546,12,local,Kuskokwim Management Area,mgmtArea,-161.5,60
BER,1996,0,38,94,0,0,regional,132,13,regional,Bering River Subarea Copper River Subarea,subarea,-144.5,60.5
YUK,1996,112,0,35,0,153,individual,300,14,individual,Yukon Management Area,mgmtArea,-164,62
YUK,1996,112,0,35,0,153,regional,300,14,regional,Yukon Management Area,mgmtArea,-164,62
NRS,1996,0,0,70,487,5,regional,562,15,regional,Norton Sound Management Area,mgmtArea,-162,64.5
NRS,1996,0,0,70,487,5,local,562,15,local,Norton Sound Management Area,mgmtArea,-162,64.5
KTZ,1996,0,0,0,0,143,regional,143,16,regional,Kotzebue Management Area,mgmtArea,-163.5,66
ALU,1996,0,NA,NA,0,0,individual,0,17,individual,Aleutian Islands Subarea,subarea,-170,53
ALU,1996,0,NA,NA,0,0,regional,0,17,regional,Aleutian Islands Subarea,subarea,-170,53
ALU,1996,0,NA,NA,0,0,local,0,17,local,Aleutian Islands Subarea,subarea,-170,53
BRB,1995,99,44269,49,0,980,regional,45397,18,regional,Bristol Bay Management Area,mgmtArea,-158,58.5
KOD,1995,19,4489,308,42849,1523,local,49188,19,local,Kodiak Management Area,mgmtArea,-152.5,57.5
NOP,1995,8,3273,136,12,99,local,3528,20,local,NorthPeninsual Subarea,subarea,-159,56.5
NOP,1995,8,3273,136,12,99,individual,3528,20,individual,NorthPeninsual Subarea,subarea,-159,56.5
CKI,1995,22,3243,466,2982,577,regional,7290,21,regional,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1995,22,3243,466,2982,577,local,7290,21,local,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1995,22,3243,466,2982,577,individual,7290,21,individual,Cook Inlet Management Area,mgmtArea,-151,60
SOP,1995,17,3016,264,16312,1728,regional,21337,22,regional,South Peninsula Subarea,subarea,-162,54.5
CHG,1995,5,1724,282,2058,381,regional,4450,23,regional,Chignik Management Area,mgmtArea,-158.5,56.3
CHG,1995,5,1724,282,2058,381,individual,4450,23,individual,Chignik Management Area,mgmtArea,-158.5,56.3
CHG,1995,5,1724,282,2058,381,local,4450,23,local,Chignik Management Area,mgmtArea,-158.5,56.3
SSE,1995,32,1353,1093,41315,4582,local,48375,24,local,Southern Southeast Alaska,mgmtArea,-132.5,55.5
SSE,1995,32,1353,1093,41315,4582,regional,48375,24,regional,Southern Southeast Alaska,mgmtArea,-132.5,55.5
COP,1995,67,1272,543,20,56,individual,1958,25,individual,Copper River Subarea,subarea,-145,60.5
NSE,1995,170,288,1716,6594,6572,individual,15340,26,individual,Northern Southeast Alaska,mgmtArea,-134.5,58.5
NSE,1995,170,288,1716,6594,6572,local,15340,26,local,Northern Southeast Alaska,mgmtArea,-134.5,58.5
NSE,1995,170,288,1716,6594,6572,regional,15340,26,regional,Northern Southeast Alaska,mgmtArea,-134.5,58.5
PWS,1995,1,230,140,16045,702,individual,17118,27,individual,Prince William Sound Subarea,subarea,-148,60.8
PWS,1995,1,230,140,16045,702,regional,17118,27,regional,Prince William Sound Subarea,subarea,-148,60.8
PWS,1995,1,230,140,16045,702,local,17118,27,local,Prince William Sound Subarea,subarea,-148,60.8
KSK,1995,73,200,562,0,723,local,1558,28,local,Kuskokwim Management Area,mgmtArea,-161.5,60
KSK,1995,73,200,562,0,723,regional,1558,28,regional,Kuskokwim Management Area,mgmtArea,-161.5,60
YAK,1995,12,154,536,55,3,local,760,29,local,Yakutat,mgmtArea,-140,59.5
YAK,1995,12,154,536,55,3,individual,760,29,individual,Yakutat,mgmtArea,-140,59.5
YAK,1995,12,154,536,55,3,regional,760,29,regional,Yakutat,mgmtArea,-140,59.5
BER,1995,0,22,282,0,0,local,304,30,local,Bering River Subarea Copper River Subarea,subarea,-144.5,60.5
BER,1995,0,22,282,0,0,individual,304,30,individual,Bering River Subarea Copper River Subarea,subarea,-144.5,60.5
YUK,1995,92,0,54,NA,249,local,395,31,local,Yukon Management Area,mgmtArea,-164,62
YUK,1995,92,0,54,NA,249,regional,395,31,regional,Yukon Management Area,mgmtArea,-164,62
YUK,1995,92,0,54,NA,249,individual,395,31,individual,Yukon Management Area,mgmtArea,-164,62
NRS,1995,9,0,48,82,43,local,182,32,local,Norton Sound Management Area,mgmtArea,-162,64.5
NRS,1995,9,0,48,82,43,individual,182,32,individual,Norton Sound Management Area,mgmtArea,-162,64.5
KTZ,1995,0,0,0,0,80,regional,80,33,regional,Kotzebue Management Area,mgmtArea,-163.5,66
KTZ,1995,0,0,0,0,80,individual,80,33,individual,Kotzebue Management Area,mgmtArea,-163.5,66
KTZ,1995,0,0,0,0,80,local,80,33,local,Kotzebue Management Area,mgmtArea,-163.5,66
ALU,1995,0,0,0,0,0,local,0,34,local,Aleutian Islands Subarea,subarea,-170,53
BRB,1994,141,35224,175,90,895,individual,36525,36,individual,Bristol Bay Management Area,mgmtArea,-158,58.5
CKI,1994,21,3706,600,2172,334,individual,6833,37,individual,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1994,21,3706,600,2172,334,regional,6833,37,regional,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1994,21,3706,600,2172,334,local,6833,37,local,Cook Inlet Management Area,mgmtArea,-151,60
KOD,1994,23,2878,296,8163,739,regional,12099,38,regional,Kodiak Management Area,mgmtArea,-152.5,57.5
NOP,1994,19,2783,242,226,84,regional,3354,39,regional,NorthPeninsual Subarea,subarea,-159,56.5
NOP,1994,19,2783,242,226,84,local,3354,39,local,NorthPeninsual Subarea,subarea,-159,56.5
NOP,1994,19,2783,242,226,84,individual,3354,39,individual,NorthPeninsual Subarea,subarea,-159,56.5
SOP,1994,10,2107,256,9180,2192,individual,13745,40,individual,South Peninsula Subarea,subarea,-162,54.5
SOP,1994,10,2107,256,9180,2192,regional,13745,40,regional,South Peninsula Subarea,subarea,-162,54.5
CHG,1994,4,1618,231,431,227,individual,2511,41,individual,Chignik Management Area,mgmtArea,-158.5,56.3
COP,1994,48,1153,678,12,19,individual,1910,42,individual,Copper River Subarea,subarea,-145,60.5
COP,1994,48,1153,678,12,19,local,1910,42,local,Copper River Subarea,subarea,-145,60.5
NSE,1994,152,480,3220,36573,6951,individual,47376,43,individual,Northern Southeast Alaska,mgmtArea,-134.5,58.5
PWS,1994,1,334,122,36874,1039,regional,38370,44,regional,Prince William Sound Subarea,subarea,-148,60.8
PWS,1994,1,334,122,36874,1039,individual,38370,44,individual,Prince William Sound Subarea,subarea,-148,60.8
YAK,1994,9,208,761,14,5,local,997,45,local,Yakutat,mgmtArea,-140,59.5
KSK,1994,29,194,864,85,373,local,1545,46,local,Kuskokwim Management Area,mgmtArea,-161.5,60
KSK,1994,29,194,864,85,373,regional,1545,46,regional,Kuskokwim Management Area,mgmtArea,-161.5,60
BER,1994,0,28,259,0,0,local,287,47,local,Bering River Subarea Copper River Subarea,subarea,-144.5,60.5
YUK,1994,115,0,6,0,97,individual,218,48,individual,Yukon Management Area,mgmtArea,-164,62
YUK,1994,115,0,6,0,97,regional,218,48,regional,Yukon Management Area,mgmtArea,-164,62
NRS,1994,5,0,102,982,18,individual,1107,49,individual,Norton Sound Management Area,mgmtArea,-162,64.5
KTZ,1994,0,0,0,0,149,regional,149,50,regional,Kotzebue Management Area,mgmtArea,-163.5,66
KTZ,1994,0,0,0,0,149,individual,149,50,individual,Kotzebue Management Area,mgmtArea,-163.5,66
ALU,1994,0,0,0,860,1,local,861,51,local,Aleutian Islands Subarea,subarea,-170,53
BRB,1993,86,40463,73,0,838,local,41460,52,local,Bristol Bay Management Area,mgmtArea,-158,58.5
BRB,1993,86,40463,73,0,838,regional,41460,52,regional,Bristol Bay Management Area,mgmtArea,-158,58.5
BRB,1993,86,40463,73,0,838,individual,41460,52,individual,Bristol Bay Management Area,mgmtArea,-158,58.5
CKI,1993,23,5004,321,968,139,regional,6455,53,regional,Cook Inlet Management Area,mgmtArea,-151,60
CKI,1993,23,5004,321,968,139,local,6455,53,local,Cook Inlet Management Area,mgmtArea,-151,60
KOD,1993,42,4378,313,34019,588,regional,39340,54,regional,Kodiak Management Area,mgmtArea,-152.5,57.5
KOD,1993,42,4378,313,34019,588,individual,39340,54,individual,Kodiak Management Area,mgmtArea,-152.5,57.5
KOD,1993,42,4378,313,34019,588,local,39340,54,local,Kodiak Management Area,mgmtArea,-152.5,57.5
NOP,1993,24,3867,64,5,135,regional,4095,55,regional,NorthPeninsual Subarea,subarea,-159,56.5
SOP,1993,14,3689,220,9928,1048,local,14899,56,local,South Peninsula Subarea,subarea,-162,54.5
SOP,1993,14,3689,220,9928,1048,regional,14899,56,regional,South Peninsula Subarea,subarea,-162,54.5
SOP,1993,14,3689,220,9928,1048,individual,14899,56,individual,South Peninsula Subarea,subarea,-162,54.5
SSE,1993,98,2313,1331,39219,2938,individual,45899,57,individual,Southern Southeast Alaska,mgmtArea,-132.5,55.5
CHG,1993,20,1697,229,1648,122,individual,3716,58,individual,Chignik Management Area,mgmtArea,-158.5,56.3
CHG,1993,20,1697,229,1648,122,local,3716,58,local,Chignik Management Area,mgmtArea,-158.5,56.3
COP,1993,30,1398,281,10,13,individual,1732,59,individual,Copper River Subarea,subarea,-145,60.5
