"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
BRB,1996,87,29592,125,38,827,,individual;regional
KOD,1996,13,4970,202,3487,544,,individual
CKI,1996,15,4376,336,696,167,,regional;individual;local
COP,1996,58,2357,193,6,26,,regional;local;individual
SSE,1996,24,2110,1173,53676,5605,,regional;individual
CHG,1996,3,1958,193,189,121,,local;regional
NOP,1996,5,1911,157,54,68,,individual;regional
SOP,1996,6,1543,293,2208,795,,local;individual
PWS,1996,1,606,172,26042,2078,,regional;individual
NSE,1996,187,478,1492,10921,10459,,individual;regional
YAK,1996,10,209,492,32,3,,regional
KSK,1996,23,123,1102,2,296,,individual;local
BER,1996,0,38,94,0,0,,regional
YUK,1996,112,0,35,0,153,,individual;regional
NRS,1996,0,0,70,487,5,,regional;local
KTZ,1996,0,0,0,0,143,,regional
ALU,1996,0,,NA,0,0,,individual;regional;local
BRB,1995,99,44269,49,0,980,,regional
KOD,1995,19,4489,308,42849,1523,,local
NOP,1995,8,3273,136,12,99,,local;individual
CKI,1995,22,3243,466,2982,577,,regional;local;individual
SOP,1995,17,3016,264,16312,1728,,regional
CHG,1995,5,1724,282,2058,381,,regional;individual;local
SSE,1995,32,1353,1093,41315,4582,,local;regional
COP,1995,67,1272,543,20,56,,individual
NSE,1995,170,288,1716,6594,6572,,individual;local;regional
PWS,1995,1,230,140,16045,702,,individual;regional;local
KSK,1995,73,200,562,0,723,,local;regional
YAK,1995,12,154,536,55,3,,local;individual;regional
BER,1995,0,22,282,0,0,,local;individual
YUK,1995,92,0,54,NA,249,,local;regional;individual
NRS,1995,9,0,48,82,43,,local;individual
KTZ,1995,0,0,0,0,80,,regional;individual;local
ALU,1995,0,0,0,0,0,,local
SSE,1994,56,17041704,1735,21059,3441,,local
BRB,1994,141,35224,175,90,895,,individual
CKI,1994,21,3706,600,2172,334,,individual;regional;local
KOD,1994,23,2878,296,8163,739,,regional
NOP,1994,19,2783,242,226,84,,regional;local;individual
SOP,1994,10,2107,256,9180,2192,,individual;regional
CHG,1994,4,1618,231,431,227,,individual
COP,1994,48,1153,678,12,19,,individual;local
NSE,1994,152,480,3220,36573,6951,,individual
PWS,1994,1,334,122,36874,1039,,regional;individual
YAK,1994,9,208,761,14,5,,local
KSK,1994,29,194,864,85,373,,local;regional
BER,1994,0,28,259,0,0,,local
YUK,1994,115,0,6,0,97,,individual;regional
NRS,1994,5,0,102,982,18,,individual
KTZ,1994,0,0,0,0,149,,regional;individual
ALU,1994,0,0,0,860,1,,local
BRB,1993,86,40463,73,0,838,,local;regional;individual
CKI,1993,23,5004,321,968,139,,regional;local
KOD,1993,42,4378,313,34019,588,,regional;individual;local
NOP,1993,24,3867,64,5,135,,regional
SOP,1993,14,3689,220,9928,1048,,local;regional;individual
SSE,1993,98,2313,1331,39219,2938,,individual
CHG,1993,20,1697,229,1648,122,,individual;local
COP,1993,30,1398,281,10,13,,individual
NSE,1993,182,532,1825,18067,4936,,local;individual;regional
PWS,1993,2,419,48,5751,1173,,regional
YAK,1993,17,347,509,13,6,,regional;individual
KSK,1993,29,172,695,0,103,,individual;local;regional
BER,1993,0,34,116,0,0,,local;individual;regional
YUK,1993,96,0,0,0,98,,individual;regional;local
NRS,1993,9,0,43,163,54,,regional;individual;local
KTZ,1993,0,0,0,0,71,,local;individual;regional
ALU,1993,0,0,0,0,1,,individual;regional
BRB,1992,69,31880,192,500,921,,individual;regional
CKI,1992,20,9301,475,1176,298,,regional;individual;local
KOD,1992,24,4168,280,3311,680,,regional;local;individual
NOP,1992,13,3576,207,194,342,,local
